Metadata: {"arch":"arm64","console_log":"console.log","dist_size":211549,"engine":"bramblex","repository":"https://github.com/bramblex/jsjs.git","revision":"ab7133f7435acdf16a86473cbd36ab68d6195fba","revision_date":"2018-03-08"}
compat-table/es6/Function.name.symbol-keyed.js: SyntaxError: Unexpected token (13:4)
compat-table/es6/Function.name.variable.js: failed
compat-table/es6/Map.Symbol.species.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.constructor-accepts-null.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.constructor-arguments.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.constructor-invokes-set.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.constructor-requires-new.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.iterator-closing.js: global 未定义
compat-table/es6/Map.iterator-prototype-chain.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.prototype-not-instance.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.prototype.Symbol.iterator.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.prototype.clear.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.prototype.delete.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.prototype.entries.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.prototype.forEach.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.prototype.keys.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.prototype.set-returns-this.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.prototype.size.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.prototype.values.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Map.zero-key.js: exception: [Error] [object Object], 'Map' 未定义
compat-table/es6/Math.acosh.js: OK
compat-table/es6/Math.asinh.js: OK
compat-table/es6/Math.atanh.js: OK
compat-table/es6/Math.cbrt.js: OK
compat-table/es6/Math.clz32.js: OK
compat-table/es6/Math.cosh.js: OK
compat-table/es6/Math.expm1.js: OK
compat-table/es6/Math.fround.js: OK
compat-table/es6/Math.hypot.js: OK
compat-table/es6/Math.imul.js: OK
compat-table/es6/Math.log1p.js: OK
compat-table/es6/Math.log2.js: OK
compat-table/es6/Math.log10.js: OK
compat-table/es6/Math.sign.js: OK
compat-table/es6/Math.sinh.js: OK
compat-table/es6/Math.tanh.js: OK
compat-table/es6/Math.trunc.js: OK
compat-table/es6/Number.EPSILON.js: OK
compat-table/es6/Number.MAX_SAFE_INTEGER.js: OK
compat-table/es6/Number.MIN_SAFE_INTEGER.js: OK
compat-table/es6/Number.isFinite.js: OK
compat-table/es6/Number.isInteger.js: OK
compat-table/es6/Number.isNaN.js: OK
compat-table/es6/Number.isSafeInteger.js: OK
compat-table/es6/Number.parseFloat.js: exception: [Error] [object Object], 'Function' 未定义
compat-table/es6/Number.parseInt.js: exception: [Error] [object Object], 'Function' 未定义
compat-table/es6/Object.assign.js: OK
compat-table/es6/Object.getOwnPropertySymbols.js: exception: [Error] [object Object], 'Symbol' 未定义
compat-table/es6/Object.is.js: OK
compat-table/es6/Object.setPrototypeOf.js: OK
compat-table/es6/Promise.Symbol.species.js: exception: [Error] [object Object], 'Symbol' 未定义
compat-table/es6/Promise.all.iterable.js: global 未定义
compat-table/es6/Promise.all.js: ReferenceError: name is not defined
compat-table/es6/Promise.constructor-requires-new.js: OK
compat-table/es6/Promise.js: ReferenceError: name is not defined
compat-table/es6/Promise.prototype-not-instance.js: OK
compat-table/es6/Promise.race.iterable.js: global 未定义
compat-table/es6/Promise.race.js: ReferenceError: name is not defined
compat-table/es6/Proxy.Array.isArray.js: exception: [Error] [object Object], 'Proxy' 未定义
compat-table/es6/Proxy.JSON.stringify.js: exception: [Error] [object Object], 'Proxy' 未定义
compat-table/es6/Proxy.constructor-requires-new.js: exception: [Error] [object Object], 'Proxy' 未定义
compat-table/es6/Proxy.handler.apply.invariants.js: exception: [Error] [object Object], 'Proxy' 未定义
compat-table/es6/Proxy.handler.apply.js: exception: [Error] [object Object], 'Proxy' 未定义
compat-table/es6/Proxy.handler.construct.invariants.js: exception: [Error] [object Object], 'Proxy' 未定义
compat-table/es6/Proxy.handler.construct.js: exception: [Error] [object Object], 'Proxy' 未定义
compat-table/es6/Proxy.handler.defineProperty.invariants.js: exception: [Error] [object Object], 'Proxy' 未定义
compat-table/es6/Proxy.handler.defineProperty.js: exception: [Error] [object Object], 'Proxy' 未定义
compat-table/es6/Proxy.handler.deleteProperty.invariants.js: exception: [Error] [object Object], 'Proxy' 未定义
compat-table/es6/Proxy.handler.deleteProperty.js: exception: [Error] [object Object], 'Proxy' 未定义
