Metadata: {"arch":"arm64","console_log":"print","dist_size":1190498961,"engine":"rpython-langjs","repository":"https://github.com/progval/rpython-langjs.git","revision":"d31b8ee3be4904200d64a6cbe12c8200f2c3aaf9","revision_date":"2017-10-01"}
es3/regex.escape.nul.js: Syntax Error in: regex.escape.nul.js:5; ^
es3/regex.escape.unicode.js: Syntax Error in: regex.escape.unicode.js:7; ^
es3/regex.flag.global.js: Syntax Error in: regex.flag.global.js:7; ^; Error: ['EOF']
es3/regex.flag.ignorecase.js: Syntax Error in: regex.flag.ignorecase.js:7; ^; Error: ['EOF']
es3/regex.flag.multiline.js: Syntax Error in: regex.flag.multiline.js:8; ^; Error: ['EOF']
es3/regex.group.js: Syntax Error in: regex.group.js:7; ^; Error: ['EOF']
es3/regex.lookahead.js: Syntax Error in: regex.lookahead.js:7; ^; Error: ['EOF']
es3/regex.negative-lookahead.js: Syntax Error in: regex.negative-lookahead.js:7; ^
es3/regex.non-capturing-group.js: Syntax Error in: regex.non-capturing-group.js:7; ^; Error: ['EOF']
es3/regex.quantifier.exact.js: Syntax Error in: regex.quantifier.exact.js:7; ^; Error: ['EOF']
es3/regex.quantifier.maybe.js: Syntax Error in: regex.quantifier.maybe.js:7; ^; Error: ['EOF']
es3/regex.quantifier.min.js: Syntax Error in: regex.quantifier.min.js:7; ^; Error: ['EOF']
es3/regex.quantifier.plus.js: Syntax Error in: regex.quantifier.plus.js:7; ^; Error: ['EOF']
es3/regex.quantifier.range.js: Syntax Error in: regex.quantifier.range.js:7; ^; Error: ['EOF']
es3/regex.quantifier.star.js: Syntax Error in: regex.quantifier.star.js:7; ^; Error: ['EOF']
es3/regex.word-boundary.js: Syntax Error in: regex.word-boundary.js:8; ^
es3/source.line-terminators.js: Syntax Error in: source.line-terminators.js:11; var f1 = function() {; ^
es3/source.whitespace.js: Syntax Error in: source.whitespace.js:10; var; z = 3;     // var<FF>x: \u000C Form Feed; ^
es3/source.whitespace.unicode.js: Syntax Error in: source.whitespace.unicode.js:6; ^
es3/strict-equals.js: OK
es3/switch.js: switch fall-through failed
es3/try-catch-finally.js: try/catch/finally failed
es3/try-catch-throw.js: OK
es5/Array.isArray.js: TypeError: undefined is not a callable (isArray)
es5/Array.prototype.every.js: Syntax Error in: Array.prototype.every.js:35; ^; Error: ['EOF']
es5/Array.prototype.filter.js: Syntax Error in: Array.prototype.filter.js:30; ^; Error: ['EOF']
es5/Array.prototype.forEach.js: Syntax Error in: Array.prototype.forEach.js:33; var sparseCount = 0;; ^; Error: ['EOF']
es5/Array.prototype.indexOf.js: negative fromIndex failed
es5/Array.prototype.lastIndexOf.js: OK
es5/Array.prototype.map.js: TypeError: undefined is not a callable (map)
es5/Array.prototype.reduceRight.js: TypeError: undefined is not a callable (reduceRight)
es5/Array.prototype.reduce.js: Syntax Error in: Array.prototype.reduce.js:38; ^; Error: ['EOF']
es5/Array.prototype.some.js: Syntax Error in: Array.prototype.some.js:35; ^; Error: ['EOF']
es5/Array.prototype.sort.TypeError.js: Syntax Error in: Array.prototype.sort.TypeError.js:32; ^; Error: ['EOF']
es5/Array.prototype.sort.undefined-comparefn.js: OK
es5/Date.now.js: OK
es5/Date.prototype.toISOString.js: TypeError: undefined is not a callable (toISOString)
es5/Date.prototype.toJSON.js: TypeError: W_Undefined.ToObject
es5/Function.prototype-not-enumerable.js: TypeError: undefined is not a callable (propertyIsEnumerable)
es5/Function.prototype.apply.array-like.js: OK
es5/Function.prototype.bind.js: TypeError: undefined is not a callable (bind)
es5/JSON.js: typeof JSON !== 'object'
es5/JSON.parse.js: ReferenceError: JSON is not defined
es5/JSON.parse.reviver.js: ReferenceError: JSON is not defined
es5/JSON.stringify.js: ReferenceError: JSON is not defined
es5/JSON.stringify.replacer.js: ReferenceError: JSON is not defined
es5/JSON.stringify.space.js: ReferenceError: JSON is not defined
es5/Object.create.js: TypeError: undefined is not a callable (create)
es5/Object.defineProperties.js: TypeError: undefined is not a callable (defineProperties)
es5/Object.defineProperty.js: TypeError: undefined is not a callable (defineProperty)
es5/Object.freeze.js: TypeError: undefined is not a callable (freeze)
es5/Object.getOwnPropertyDescriptor.js: TypeError: undefined is not a callable (getOwnPropertyDescriptor)
es5/Object.getOwnPropertyNames.js: TypeError: undefined is not a callable (getOwnPropertyNames)
es5/Object.getPrototypeOf.js: TypeError: undefined is not a callable (create)
es5/Object.isExtensible.js: TypeError: undefined is not a callable (isExtensible)
es5/Object.isFrozen.js: TypeError: undefined is not a callable (isFrozen)
es5/Object.isSealed.js: TypeError: undefined is not a callable (isSealed)
es5/Object.keys.js: TypeError: undefined is not a callable (keys)
es5/Object.preventExtensions.js: TypeError: undefined is not a callable (preventExtensions)
es5/Object.property-shadowing.js: OK
es5/Object.seal.js: TypeError: undefined is not a callable (seal)
es5/String.indexing.js: OK
es5/String.prototype.trim.js: TypeError: undefined is not a callable (trim)
es5/arguments.toStringTag.js: OK
es5/debugger.js: ReferenceError: debugger is not defined
es5/global.Infinity.immutable.js: OK
es5/global.NaN.immutable.js: OK
es5/global.parseInt.no-octal.js: parseInt('010') !== 10; parseInt('0100') !== 100; parseInt('077') !== 77
es5/global.undefined.immutable.js: OK
es5/literals.object.getters.js: Syntax Error in: literals.object.getters.js:7; ^; Error: ['EOF']
es5/literals.object.setters.js: Syntax Error in: literals.object.setters.js:8; var value = 0;; ^; Error: ['EOF']
es5/literals.object.trailing-comma.js: Syntax Error in: literals.object.trailing-comma.js:7; ^; Error: ['EOF']
es5/source.keyword-properties.js: Syntax Error in: source.keyword-properties.js:13; ^; Error: ['EOF']
es5/source.unreserved-words.js: OK
es5/source.whitespace.bom.js: OK
es5/source.zero-width-chars.js: Syntax Error in: source.zero-width-chars.js:9; ^
es5/strict.eval-cannot-create-bindings.js: OK
es5/strict.function-expr-with-matching-name.js: OK
es5/strict.js: failed
es5/strict.no-arguments-callee.js: OK
es5/strict.no-arguments-caller.js: OK
es5/strict.no-assignment-to-non-writable.js: Syntax Error in: strict.no-assignment-to-non-writable.js:9; ^; Error: ['EOF']
es5/strict.no-assignment-to-unresolvable.js: OK
es5/strict.no-delete-bindings.js: failed
es5/strict.no-delete-non-configurable.js: OK
es5/strict.no-duplicate-parameters.js: failed
es5/strict.no-eval-or-arguments-assignment.js: ReferenceError: SyntaxError is not defined
es5/strict.no-eval-or-arguments-bindings.js: failed
es5/strict.no-function-caller-or-arguments.js: failed
es5/strict.no-octal-literals.js: failed
es5/strict.no-with.js: OK
es5/strict.reserved-words.js: ERROR in strict.reserved-words.js: Break outside loop
es5/strict.this-primitive-not-coerced-in-accessors.js: TypeError: undefined is not a callable (defineProperty)
es5/strict.this-primitive-not-coerced.js: AttributeError: 'This' object has no attribute 'index'
es5/strict.this-undefined-in-function.js: outer 'this' is not undefined
es5/strict.unmapped-arguments.js: OK
es5/this.thrown-function.js: TypeError: function() {} is not a callable (function() {})
